DEPCOM;LIBCOM;UU2010;REG;DEP
64001;Aast;64000;75;64
55001;Abainville;55000;44;55
59001;Abancourt;59000;32;59
60001;Abancourt;60000;32;60
54001;Abaucourt;54000;44;54
55002;Abaucourt-Hautecourt;55000;44;55
25001;Abbans-Dessous;25000;27;25
25002;Abbans-Dessus;25000;27;25
44001;Abbaretz;44000;52;44
60002;Abbecourt;60000;32;60
02001;Abbécourt;02000;32;02
25003;Abbenans;25000;27;25
80001;Abbeville;80401;32;80
91001;Abbéville-la-Rivière;91000;11;91
54002;Abbéville-lès-Conflans;54000;44;54
25004;Abbévillers;25000;27;25
60003;Abbeville-Saint-Lucien;60000;32;60
34001;Abeilhan;34000;76;34
70001;Abelcourt;70000;27;70
64002;Abère;64000;75;64
39001;Abergement-la-Ronce;39000;27;39
39002;Abergement-le-Grand;39000;27;39
39003;Abergement-le-Petit;39000;27;39
39004;Abergement-lès-Thésy;39000;27;39
64003;Abidos;64000;75;64
37001;Abilly;00255;24;37
64004;Abitain;64000;75;64
24001;Abjat-sur-Bandiat;24000;75;24
80002;Ablaincourt-Pressoir;80000;32;80
62001;Ablain-Saint-Nazaire;00756;32;62
62002;Ablainzevelle;62000;32;62
51001;Ablancourt;51000;44;51
95002;Ableiges;95000;11;95
78003;Ablis;78105;11;78
14001;Ablon;00363;28;14
94001;Ablon-sur-Seine;00851;11;94
42001;Aboën;42000;84;42
54003;Aboncourt;54000;44;54
57001;Aboncourt;57000;44;57
70002;Aboncourt-Gesincourt;70000;27;70
57002;Aboncourt-sur-Seille;57000;44;57
74001;Abondance;74108;84;74
28001;Abondant;28000;24;28
64005;Abos;64000;75;64
57003;Abreschviller;57000;44;57
03001;Abrest;03502;84;03
05001;Abriès-Ristolas;05000;93;05
59002;Abscon;59701;32;59
16001;Abzac;16000;75;16
33001;Abzac;33000;75;33
25005;Accolans;25000;27;25
07001;Accons;07114;84;07
64006;Accous;64000;75;64
57004;Achain;57000;44;57
57006;Achen;57000;44;57
67001;Achenheim;67701;44;67
18001;Achères;18000;24;18
78005;Achères;00851;11;78
77001;Achères-la-Forêt;77000;11;77
02002;Achery;02000;32;02
80003;Acheux-en-Amiénois;80000;32;80
80004;Acheux-en-Vimeu;80000;32;80
62003;Acheville;62000;32;62
70003;Achey;70000;27;70
62004;Achicourt;62502;32;62
62005;Achiet-le-Grand;62000;32;62
62006;Achiet-le-Petit;62000;32;62
58001;Achun;58000;27;58
60004;Achy;60000;32;60
35001;Acigné;35206;53;35
27001;Aclou;27000;28;27
