index;date_collecte;DEP;COMM;ANNEE_DEPOT;CAT_MOA;TYPE_MOA;DENOMINATION_D;SIRET_D;CADASTRE1;CADASTRE2;CADASTRE3;TYPE_EVT;SUPERFICIE_T;NB_LGT_1P;NB_LGT_2P;NB_LGT_3P;NB_LGT_4P;NB_LGT_5P;NB_LGT_6P;NB_LGT_DEMOLIS;NB_LGT_IND_CREES;NB_LGT_COL_CREES;NB_LGT_TOT_CREES;NB_NIV_MAX;NATURE_PROJET;I_PERSONNELLE;I_VENTE;I_LOCATION;I_LGTR_SENIORS;I_LGTR_ETUDIANTS;I_LGTR_TOURISME;I_LGTR_HOTELIERESOC;I_LGTR_SOCIAL;I_LGTR_HANDICAPES;I_LGTR_AUTRE;I_LGTR_AUTRE_LIBELLE;SDP_A1;SDP_B1;SDP_D1;SDP_ E1;SDP_F1;TYPE_OPERATION_CONSTR;PERIODE_DEVRT;DATEREELLE_DECISION_FAV;DATEREELLE_DOC;SDP_E1;DPC;lat;lng;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS
580;2018-04;2A;2A004;2017;20;2.0;S.F.H.E;;45AZ;;;2;5500.0;1.0;28.0;26.0;16.0;1.0;0.0;0.0;0.0;72.0;72.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;4532.0;0.0;0.0;0.0;7.0;2018-04-30;2018-03-13;;;;41.94675082494573;8.749092807691166;2A004;0903;2A0040903;H
12193;2017-04;2A;2A004;2016;90;2.0;;;5B;6B;;2;2392.0;0.0;80.0;40.0;0.0;0.0;0.0;0.0;0.0;120.0;120.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;7723.0;0.0;0.0;0.0;7.0;2017-04-30;2016-12-14;;;;41.95210210800826;8.736544163197555;2A004;0903;2A0040903;H
29987;2017-11;2A;2A004;2017;20;2.0;S.F.H.E;;45AZ;;;1;5500.0;1.0;28.0;26.0;16.0;1.0;0.0;0.0;0.0;72.0;72.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;4532.0;0.0;0.0;0.0;7.0;2017-11-30;;;;;41.94675082494573;8.749092807691166;2A004;0903;2A0040903;H
61218;2018-11;2A;2A004;2018;10;2.0;MAISON DE SOINS DU FINOSELLO;04712038100018;119BC;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;298.0;0.0;0.0;0.0;5.0;2018-11-30;2018-11-27;;;;41.94675082494573;8.749092807691166;2A004;0903;2A0040903;H
97799;2020-01;2A;2A004;2020;90;2.0;;78805803005627;0158AS;0170AS;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.0;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;3119.0;6466.0;0.0;3119.0;0.0;12.0;2020-01-31;;;;;41.95117117899453;8.769124601879614;2A004;0903;2A0040903;H
581;2018-04;2A;2A004;2017;10;2.0;;;32CH;;;2;5842.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;206.0;0.0;0.0;0.0;5.0;2018-04-30;2018-02-22;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
33053;2017-12;2A;2A004;2017;90;2.0;;;32CH;;;1;5842.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;206.0;0.0;;0.0;5.0;;;;0.0;2017/12;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
44479;2018-05;2A;2A004;2018;90;2.0;;;321AZ;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;18.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1604.0;0.0;0.0;0.0;7.0;2018-05-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
53317;2018-08;2A;2A004;2018;90;2.0;;;1031C;;;1;2410.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;863.0;0.0;0.0;0.0;7.0;2018-08-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
53321;2018-08;2A;2A004;2018;90;2.0;;;48CH;;;1;1690.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;445.0;0.0;0.0;0.0;7.0;2018-08-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
53322;2018-08;2A;2A004;2018;90;2.0;;;201BT;;;1;3070.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;25.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;2372.0;0.0;0.0;0.0;7.0;2018-08-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
58440;2018-10;2A;2A004;2018;90;2.0;;;313AZ;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;26.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1892.0;0.0;0.0;0.0;7.0;2018-10-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
61216;2018-11;2A;2A004;2018;90;2.0;;;1031C;;;2;2410.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;863.0;0.0;0.0;0.0;7.0;2018-11-30;2018-11-09;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
88319;2019-10;2A;2A004;2019;90;2.0;SARL ULYSSE FININVEST;43999869100026;192AH;;;1;931.0;3.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;15.0;4.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;758.0;0.0;0.0;0.0;7.0;2019-10-31;;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
97797;2020-01;2A;2A004;2019;90;2.0;SARL ULYSSE FININVEST;43999869100026;192AH;;;2;931.0;3.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;15.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;758.0;0.0;0.0;0.0;7.0;2020-01-31;2020-01-27;;;;41.91719000000006;8.734440000000063;2A004;0203;2A0040203;H
