index;date_collecte;DEP;COMM;ANNEE_DEPOT;CAT_MOA;TYPE_MOA;DENOMINATION_D;SIRET_D;CADASTRE1;CADASTRE2;CADASTRE3;TYPE_EVT;SUPERFICIE_T;NB_LGT_1P;NB_LGT_2P;NB_LGT_3P;NB_LGT_4P;NB_LGT_5P;NB_LGT_6P;NB_LGT_DEMOLIS;NB_LGT_IND_CREES;NB_LGT_COL_CREES;NB_LGT_TOT_CREES;NB_NIV_MAX;NATURE_PROJET;I_PERSONNELLE;I_VENTE;I_LOCATION;I_LGTR_SENIORS;I_LGTR_ETUDIANTS;I_LGTR_TOURISME;I_LGTR_HOTELIERESOC;I_LGTR_SOCIAL;I_LGTR_HANDICAPES;I_LGTR_AUTRE;I_LGTR_AUTRE_LIBELLE;SDP_A1;SDP_B1;SDP_D1;SDP_ E1;SDP_F1;TYPE_OPERATION_CONSTR;PERIODE_DEVRT;DATEREELLE_DECISION_FAV;DATEREELLE_DOC;SDP_E1;DPC;lat;lng;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS
604;2018-04;2B;2B074;2018;32;2.0;;53940379000014;736A;735A;;2;3255.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;226.0;0.0;0.0;0.0;5.0;2018-04-30;2018-04-09;;;;42.264603313252955;9.168340853684981;2B074;0000;2B0740000;Z
30006;2017-11;2B;2B074;2017;32;2.0;;53940379000014;736A;735A;;1;3255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;226.0;0.0;0.0;0.0;5.0;2017-11-30;;;;;42.264603313252955;9.168340853684981;2B074;0000;2B0740000;Z
41644;2018-03;2B;2B074;2018;90;2.0;;53940379000014;736A;735A;;1;3255.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;226.0;0.0;0.0;0.0;5.0;2018-03-30;;;;;42.264603313252955;9.168340853684981;2B074;0000;2B0740000;Z
605;2018-04;2B;2B096;2018;90;2.0;;40125395000018;250AO;;;1;6339.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;160.0;0.0;0.0;0.0;7.0;2018-04-30;;;;;42.28716000000003;9.129261277000069;2B096;0102;2B0960102;H
606;2018-04;2B;2B096;2018;90;2.0;;80171616800019;219AO;;;1;772.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;49.0;0.0;0.0;0.0;14.0;2018-04-30;;;;;42.2999861;9.1646193;2B096;0102;2B0960102;H
3147;2019-08;2B;2B096;2019;90;2.0;;48396479700000;224AE;223AE;222AE;1;1649.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;2.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;370.0;0.0;0.0;0.0;7.0;2019-08-31;;;;;42.3062903;9.1561007;2B096;0102;2B0960102;H
5578;2017-01;2B;2B096;2017;32;2.0;;82312761800010;1340B;;;1;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;4.0;2.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;177.0;0.0;0.0;0.0;7.0;2017-01-31;;;;;42.28716000000003;9.129261277000069;2B096;0102;2B0960102;H
7759;2017-02;2B;2B096;2017;32;2.0;;82312761800010;1340B;;;1;608.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;2.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;177.0;0.0;0.0;0.0;7.0;2017-02-28;;;;;42.28716000000003;9.129261277000069;2B096;0102;2B0960102;H
9890;2017-03;2B;2B096;2017;32;2.0;;82312761800010;1340B;;;2;608.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;177.0;0.0;0.0;0.0;7.0;2017-03-31;2017-03-14;;;;42.28716000000003;9.129261277000069;2B096;0102;2B0960102;H
12230;2017-04;2B;2B096;2017;32;2.0;;82312761800010;1340B;;;2;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;177.0;0.0;0.0;0.0;7.0;2017-04-30;2017-04-04;;;;42.28716000000003;9.129261277000069;2B096;0102;2B0960102;H
12231;2017-04;2B;2B096;2017;10;2.0;;38247310600013;373G;371G;366G;2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;14.0;2017-04-30;2017-03-28;;;;42.301907517025064;9.155389960197061;2B096;0102;2B0960102;H
