index;date_collecte;DEP;COMM;ANNEE_DEPOT;CAT_MOA;TYPE_MOA;DENOMINATION_D;SIRET_D;CADASTRE1;CADASTRE2;CADASTRE3;TYPE_EVT;SUPERFICIE_T;NB_LGT_1P;NB_LGT_2P;NB_LGT_3P;NB_LGT_4P;NB_LGT_5P;NB_LGT_6P;NB_LGT_DEMOLIS;NB_LGT_IND_CREES;NB_LGT_COL_CREES;NB_LGT_TOT_CREES;NB_NIV_MAX;NATURE_PROJET;I_PERSONNELLE;I_VENTE;I_LOCATION;I_LGTR_SENIORS;I_LGTR_ETUDIANTS;I_LGTR_TOURISME;I_LGTR_HOTELIERESOC;I_LGTR_SOCIAL;I_LGTR_HANDICAPES;I_LGTR_AUTRE;I_LGTR_AUTRE_LIBELLE;SDP_A1;SDP_B1;SDP_D1;SDP_ E1;SDP_F1;TYPE_OPERATION_CONSTR;PERIODE_DEVRT;DATEREELLE_DECISION_FAV;DATEREELLE_DOC;SDP_E1;DPC;lat;lng;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS
1764;2018-04;74;74014;2016;32;2.0;SCI ARPITANIE;;35540A;;;3;1454.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;2.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;370.0;0.0;0.0;0.0;7.0;2018-04-30;2017-03-12;2017-06-12;;;46.0396783;6.6398892;74014;0000;740140000;Z
4303;2019-08;74;74014;2019;90;2.0;;;44990B;51380B;20250B;2;1206.0;0.0;4.0;13.0;2.0;0.0;0.0;0.0;0.0;19.0;19.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1408.0;0.0;0.0;0.0;14.0;2019-08-31;2019-08-22;;;;46.023949992854114;6.641650007405161;74014;0000;740140000;Z
4304;2019-08;74;74014;2019;90;2.0;;;33030B;06570B;;1;1217.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;192.0;0.0;0.0;0.0;5.0;2019-08-31;;;;;46.02473056267345;6.677966506663674;74014;0000;740140000;Z
8714;2017-02;74;74014;2016;90;2.0;SARL COFA;53323358100016;18690B;46420B;;2;1233.0;0.0;0.0;5.0;1.0;0.0;0.0;2.0;0.0;6.0;6.0;;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;560.0;374.0;0.0;235.0;0.0;12.0;2017-02-28;2017-02-15;;;;46.02483024767514;6.64083280793862;74014;0000;740140000;Z
11028;2017-03;74;74014;2016;32;2.0;SCI GNBCK;82238048100017;09020A;39240A;39250A;2;2104.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;162.0;0.0;0.0;0.0;5.0;2017-03-31;2017-03-02;;;;46.039984871936326;6.639688874799531;74014;0000;740140000;Z
11029;2017-03;74;74014;2016;32;2.0;SCI ARPITANIE;;35540A;;;2;1454.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;2.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;370.0;0.0;0.0;0.0;7.0;2017-03-31;2017-03-12;;;;46.03971667701108;6.6402071209963704;74014;0000;740140000;Z
13200;2017-04;74;74014;2016;32;2.0;;;27440A;;;3;1098.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;314.0;0.0;0.0;0.0;5.0;2017-04-30;2016-04-25;2017-04-15;;;46.03363692710942;6.676176162141786;74014;0000;740140000;Z
13201;2017-04;74;74014;2016;30;2.0;SAS MGM;33173526600263;47460B;;;2;3228.0;0.0;4.0;18.0;1.0;0.0;0.0;0.0;0.0;23.0;23.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1483.0;0.0;0.0;0.0;14.0;2017-04-30;2017-04-28;;;;46.02557000519036;6.637120007834;74014;0000;740140000;Z
13202;2017-04;74;74014;2017;10;2.0;SARL FRANMIC;CHE 111729784;32810A;;;2;589.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;121.0;55.0;0.0;0.0;0.0;7.0;2017-04-30;2017-04-10;;;;46.02709999588649;6.638500004372787;74014;0000;740140000;Z
23223;2017-08;74;74014;2017;10;2.0;;;19940B;19950B;50720B;1;1434.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;188.0;104.0;0.0;0.0;0.0;7.0;2017-08-31;;;;;46.0213875;6.6424764973995725;74014;0000;740140000;Z
28508;2017-10;74;74014;2016;90;2.0;TOTEM CARROZ;81821767100010;22800B;22790B;;3;3005.0;0.0;18.0;10.0;6.0;5.0;1.0;0.0;0.0;40.0;40.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;3130.0;0.0;0.0;0.0;7.0;2017-10-31;2016-08-02;2017-04-03;;;46.00633324000487;6.692640251152796;74014;0000;740140000;Z
28509;2017-10;74;74014;2017;10;2.0;;;19940B;19950B;50720B;2;1434.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;188.0;104.0;0.0;0.0;0.0;7.0;2017-10-31;2017-10-24;;;;46.0213875;6.6424764973995725;74014;0000;740140000;Z
31312;2017-11;74;74014;2016;32;2.0;SCI GNBCK;82238048100017;09020A;39240A;39250A;3;2104.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;162.0;0.0;0.0;0.0;5.0;2017-11-30;2017-03-02;2017-09-15;;;46.039984871936326;6.639688874799531;74014;0000;740140000;Z
34580;2017-12;74;74014;2017;90;2.0;SCI DANS LE PRE;44126617800017;13810A;;;1;2633.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;151.0;0.0;;0.0;5.0;;;;0.0;2017/12;46.03363692710942;6.676176162141786;74014;0000;740140000;Z
40135;2018-02;74;74014;2018;90;2.0;;;33200A;22340A;22330A;1;7546.0;0.0;7.0;8.0;8.0;1.0;0.0;0.0;0.0;24.0;24.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1756.0;0.0;0.0;0.0;7.0;;;;;2018-02-28;46.00633324000487;6.692640251152796;74014;0000;740140000;Z
43010;2018-03;74;74014;2017;32;2.0;SCI DANS LE PRE;44126617800017;13810A;;;2;2633.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;151.0;0.0;0.0;0.0;5.0;2018-03-30;2018-03-05;;;;46.03363692710942;6.676176162141786;74014;0000;740140000;Z
45781;2018-05;74;74014;2016;30;2.0;SAS MGM;33173526600263;47460B;;;3;3228.0;0.0;4.0;18.0;1.0;0.0;0.0;0.0;0.0;23.0;23.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1483.0;0.0;0.0;0.0;14.0;2018-05-31;2017-04-28;2018-04-23;;;46.02557000519036;6.637120007834;74014;0000;740140000;Z
