Ville,Type_logement,Titre_annonce,ID_publication,ID_annonce,Code_postal,Code_INSEE,Surface,Prix,NB_pieces,nb_chambres,date_observation,heure-min,code_depart,annonce_exclusive,quartier,site_source,type_annonceur,categorie_annonceur,type_transaction,logement_neuf,prix_m_carre,statut_annonce
Sainte-Gemme-la-Plaine,Maison/Villa,SUPERBE PAVILLON DE PLAIN-PIED AVEC PISCINE,1_PB6023,ag850426-235043554,85400,85216,138,304210,6,4,2020-01-22,20:19:29.192350,85,Oui,Sainte-Gemme-la-Plaine,bienici,Pro,Agence,Vente,Non,2101.449275362319,Active
Champagné-les-Marais,Maison/Villa,Viager occupé - F79 ans - CHAMPAGNE LES MARAIS (85450),421985090,ag752451-231390574,85450,85049,140,106240,5,3,2020-01-22,20:19:29.192350,85,Oui,Champagné-les-Marais,bienici,Pro,Agence,Viager,Non,,Active
Saint-Jean-de-Monts,Maison/Villa,Maison T5,117905E1EU16,orpi-1-117905E1EU16,85160,85234,133.37,331500,5,4,2020-01-22,20:19:29.192350,85,Oui,Rue Notre-Dame - Bois Joly - Vredon - Vacherie - Tonnelle,bienici,Pro,Agence,Vente,Non,2361.8504911149435,Active
Saint-Jean-de-Monts,Maison/Villa,Viager occupé - F71 ans - ST JEAN DE MONTS (85160),421885042,ag752451-171608060,85160,85234,138,57950,5,3,2020-01-22,20:19:29.192350,85,Oui,Rue Notre-Dame - Bois Joly - Vredon - Vacherie - Tonnelle,bienici,Pro,Agence,Viager,Non,,Active
Saint-Christophe-du-Ligneron,Maison/Villa,,4550,century-21-202_2761_4550,85670,85204,134.1,280500,5,3,2020-01-22,20:19:29.192350,85,Oui,Saint-Christophe-du-Ligneron,bienici,Pro,Agence,Vente,Non,1976.13721103654,Active
Venansault,Maison/Villa,Maison Venansault 7 pièce(s) 132 m2,4589P,immo-facile-99933762827,85190,85300,133,269600,7,4,2020-01-22,20:19:29.192350,85,Oui,Venansault,bienici,Pro,Agence,Vente,Non,2027.0676691729323,Active
Château-d'Olonne,Maison/Villa,LA MARCELLIERE,919-MYABITA,ag850235-227235436,85180,85060,133,367800,6,4,2020-01-22,20:19:29.192350,85,Oui,Nouettes - Vivier - Bois de la Rudelière,bienici,Pro,Agence,Vente,Non,2646.6165413533836,Active
Château-d'Olonne,Maison/Villa,LA MARCELLIERE,919-MYABITA,ag851143-227235433,85180,85060,133,367800,6,4,2020-01-22,20:19:29.192350,85,Oui,Nouettes - Vivier - Bois de la Rudelière,bienici,Pro,Agence,Vente,Non,2646.6165413533836,Active
Saint-Juire-Champgillon,Maison/Villa,Agréable maison en pierres au calme,1212V,hektor-achetezvendeeim-651,85210,85235,134,104370,4,3,2020-01-22,20:19:29.192350,85,Oui,Saint-Juire-Champgillon,bienici,Pro,Agence,Vente,Non,731.3432835820895,Active
Longeville-sur-Mer,Maison/Villa,Maison Longeville Sur Mer 4 pièce(s) 140 m2,4237,immo-facile-adresse-10973124,85560,85127,140,332500,4,3,2020-01-22,20:19:29.192350,85,Oui,Longeville-sur-Mer,bienici,Pro,Agence,Vente,Non,2375.0,Active
