codepostal;ville;nb_pieces;prix_m2
13100;aix-en-provence;1;26,96
06400;cannes;1;21,47
30000;nimes;1;14,85
31000;toulouse;2;17,57
13090;aix-en-provence;1;23,84
31200;toulouse;3;13,93
30000;nimes;1;14,05
34000;montpellier;3;9,27
13100;aix-en-provence;4;14,38
06200;nice;1;17,37
31300;toulouse;1;28,82
34000;montpellier;2;18,06
13090;aix-en-provence;1;17,17
13100;aix-en-provence;4;13,1
31300;toulouse;3;9,69
76100;rouen;3;9,94
13100;aix-en-provence;1;30,63
33000;bordeaux;1;19,54
34000;montpellier;3;12,67
13090;aix-en-provence;1;28,26
06000;nice;1;31,67
31200;toulouse;3;11,57
31500;toulouse;1;16,33
06000;nice;1;18,45
06000;nice;1;25,66
06300;nice;2;16,98
06000;nice;1;2,66
34000;montpellier;3;14,83
31200;toulouse;2;13,41
33000;bordeaux;1;25
34000;montpellier;2;21,62
33000;bordeaux;5;18,69
30000;nimes;1;18,75
13100;aix-en-provence;1;25,53
59000;lille;2;18,29
34000;montpellier;3;1,08
06300;nice;3;5937,5
06200;nice;2;17,01
06200;nice;2;17,35
34090;montpellier;2;13,79
31400;toulouse;2;13
83200;toulon;2;10,86
06000;nice;1;22,22
31200;toulouse;2;11,51
13100;aix-en-provence;1;21,14
31000;toulouse;1;17,31
06200;nice;1;28,26
34090;montpellier;2;16,08
34090;montpellier;2;20
75016;paris-16eme;2;44,12
13100;aix-en-provence;1;25,25
06400;cannes;1;26,63
76000;rouen;1;17,71
30000;nimes;1;8,6
13090;aix-en-provence;1;18,79
31500;toulouse;1;1,46
31000;toulouse;2;17,91
13100;aix-en-provence;1;22,1
06000;nice;2;16,67
59000;lille;2;13,58
06300;nice;1;25,32
06000;nice;1;31,51
06000;nice;2;18,63
31200;toulouse;2;12,44
06000;nice;1;26,19
06400;cannes;1;22,79
31000;toulouse;4;5,48
59000;lille;1;20,75
31400;toulouse;1;15,98
75016;paris-16eme;2;30
13080;aix-en-provence;2;11,91
31300;toulouse;3;9,56
31100;toulouse;3;9,87
59000;lille;4;13,44
31500;toulouse;2;15,63
31000;toulouse;1;20,86
31300;toulouse;1;25,06
06300;nice;2;16,54
06000;nice;1;27,96
31000;toulouse;1;30,07
33800;bordeaux;2;17,98
06000;nice;1;31,67
06000;nice;4;20,83
06000;nice;3;16,57
06000;nice;1;46,67
30000;nimes;2;1,42
06000;nice;2;45,48
13100;aix-en-provence;4;13,88
83000;toulon;2;13,47
06200;nice;1;28,18
31000;toulouse;2;20,93
34090;montpellier;2;14,44
31200;toulouse;2;12,05
31200;toulouse;2;12,53
06200;nice;1;30
59000;lille;2;11,3
06000;nice;2;18,21
06000;nice;1;19,91
34070;montpellier;2;13,82
59000;lille;3;16,03
13100;aix-en-provence;1;31,11
30000;nimes;3;11,18
31300;toulouse;2;13,39
30900;nimes;2;1,12
13100;aix-en-provence;4;12,52
76000;rouen;2;13,59
75016;paris-16eme;4;33,33
06000;nice;1;30,42
13100;aix-en-provence;1;27,53
31200;toulouse;3;10,68
31300;toulouse;1;19,17
31000;toulouse;2;12,64
13100;aix-en-provence;2;21,64
06000;nice;1;22,35
76000;rouen;2;14,06
76000;rouen;1;15,25
34000;montpellier;3;3010,42
33000;bordeaux;1;22,4
31300;toulouse;2;14,63
34070;montpellier;3;10,01
75016;paris-16eme;3;30
31300;toulouse;2;16,47
75016;paris-16eme;2;36,89
75116;paris-16eme;1;63,16
59000;lille;1;31,56
83100;toulon;2;14,27
13100;aix-en-provence;1;28,26
06200;nice;1;26,44
31500;toulouse;2;16,1
76000;rouen;4;11,79
13100;aix-en-provence;1;29,9
31200;toulouse;2;12,08
31000;toulouse;8;8,61
13100;aix-en-provence;1;34,91
34000;montpellier;2;23,54
31200;toulouse;3;10,19
75016;paris-16eme;3;31,97
06000;nice;1;18,94
31000;toulouse;4;16,46
06000;nice;2;20,44
75016;paris-16eme;4;26,97
